# The quiz: a text, then "=>", then the space it should build, then (optional) "|" and
# questions with their answers: "question = answer; question = answer".
# Statements: "X in Y" (X is inside Y), "X is Y" (X joined the group Y), "X owns Y", "X: fact".
# Separate with ";".
# Answers: names ("green"; "bike, car" when more than one), "yes", "no", "nothing", or a number
# written in digits.
# Every line starts from an empty space. Only the permanent space counts: what the reader kept
# when a sentence settled. Questions are asked of that space. No word has a meaning in the code: the
# reader learns which behaviors each word promotes from these lines.
# Most lines are scenes: two to five statements, then many questions about them. The questions
# ask each fact in several wordings (where is X, what is in Y, is X in Y), ask about a thing the
# scene does not name (nothing, no), and combine facts where the concept allows. Things in one
# scene have distinct names, unless the concept is about two of the same kind. Simple scenes come
# first. Turn lines stay one statement and one question, since a turn draws one answer.
# Lines that start with "test:" are held out: the reader never learns from them; they show if
# what was learned works on new sentences. Test scenes use new names and things in the shapes
# the learned scenes teach.
# The shape of the numbers facts: the digits put their number on the stack, "=" applies nothing,
# and the word takes the number. Read before the facts are seeded, so the word's value comes only
# from the digits; the facts file 14-numbers.txt is written in this shape and seeded for the rest.
# These scenes only state, since the facts file they teach only states.
3 = three . 5 = five . => 3 = 3; three = 3; 5 = 5; five = 5
10 = ten . 13 = thirteen . => 10 = 10; ten = 10; 13 = 13; thirteen = 13
40 = forty . 100 = hundred . => 40 = 40; forty = 40; 100 = 100; hundred = 100
test: 70 = seventy . 14 = fourteen . => 70 = 70; seventy = 70; 14 = 14; fourteen = 14
seed: 14-numbers
car inside garage. person inside car. => car in garage; person in car | where is the car? = garage; what is inside the car? = person; where is the person? = car; what is inside the garage? = car; is the car in the garage? = yes; is the person in the car? = yes; is the car in the house? = no; where is the key? = nothing
the key is in the box. a bird is in a tree. => key in box; bird in tree | where is the key? = box; is the bird in the tree? = yes; what is in the box? = key; where is the bird? = tree; what is in the tree? = bird; is the key in the box? = yes; is the key in the tree? = no; is the bird in the box? = no; where is the duck? = nothing
a key is in a box. the bird is in the tree. => key in box; bird in tree | what is in the box? = key; where is the bird? = tree; where is the key? = box; what is in the tree? = bird; is the bird in the tree? = yes; is the key in the box? = yes; is the bird in the box? = no; what is in the cup? = nothing
the duck is in the lake. the cow is in the meadow. the boat is in the river. => duck in lake; cow in meadow; boat in river | where is the duck? = lake; is the duck in the lake? = yes; is the cow in the meadow? = yes; is the cow in the house? = no; where is the boat? = river; is the boat in the river? = yes; where is the cow? = meadow; what is in the lake? = duck; what is in the meadow? = cow; what is in the river? = boat; is the boat in the lake? = no; is the duck in the river? = no; where is the fish? = nothing
a pen is inside a bag. water is in the cup. => pen in bag; water in cup | is the pen in the box? = no; what is in the cup? = water; where is the pen? = bag; where is the water? = cup; what is inside the bag? = pen; is the water in the cup? = yes; is the pen in the cup? = no; what is in the box? = nothing
the apple is in the bowl. the apple is red. a lamp is in the room. the room is dark. => apple in bowl; apple is red; lamp in room; room is dark | where is the apple? = bowl; what is red? = apple; what is dark? = room; where is the lamp? = room; what is in the bowl? = apple; what is in the room? = lamp; is the apple red? = yes; is the room dark? = yes; is the apple dark? = no; is the lamp in the room? = yes; is the lamp red? = no; what is green? = nothing
a cup is in a box. the box is green. a pen is in the cup. the cup is small. => cup in box; box is green; pen in cup; cup is small | where is the cup? = box; what is green? = box; where is the pen? = cup; what is small? = cup; what is in the box? = cup; what is in the cup? = pen; is the box green? = yes; is the cup small? = yes; is the cup green? = no; where is the box? = nothing
a toy is in a car. the car is green. a cat is in the garage. the cat is black. => toy in car; car is green; cat in garage; cat is black | where is the toy? = car; what is green? = car; is the cat black? = yes; where is the cat? = garage; what is black? = cat; what is in the car? = toy; what is in the garage? = cat; is the car green? = yes; is the car black? = no; is the toy in the garage? = no; where is the dog? = nothing
the ball is inside the box and the box is inside the car. the key is in the cup and the cup is in the bag. => ball in box; box in car; key in cup; cup in bag | where is the box? = car; where is the cup? = bag; where is the ball? = box; where is the key? = cup; what is inside the box? = ball; what is in the cup? = key; what is in the bag? = cup; what is inside the car? = box; where is the bag? = nothing
the book is in the box and the box is in the car. the dog is in the car and the car is in the street. => book in box; box in car; dog in car; car in street | where is the box? = car; where is the car? = street; where is the dog? = car; where is the book? = box; what is in the box? = book; what is in the street? = car; what is in the car? = box, dog; is the dog in the car? = yes; is the dog in the box? = no; where is the street? = nothing
the box is in the car. the car is in the garage. the bag is in the house. => box in car; car in garage; bag in house | what is in the car? = box; where is the car? = garage; where is the box? = car; what is in the garage? = car; where is the bag? = house; what is in the house? = bag; is the bag in the car? = no; is the car in the garage? = yes; where is the garage? = nothing
# Two clauses joined by "and": each keeps its own place. These carry weight since "and" also
# joins two objects (reopen) and two subjects (companion), and the clause reading lost to those.
the dog is in the house and the cat is in the garden. the key is in the box and the pen is in the bag. => dog in house; cat in garden; key in box; pen in bag | where is the cat? = garden; what is in the house? = dog; where is the pen? = bag; what is in the box? = key; where is the dog? = house; where is the key? = box; what is in the garden? = cat; what is in the bag? = pen; is the cat in the house? = no; is the key in the box? = yes; where is the bird? = nothing
the cup is on the table and the book is on the bed. a cat is in the car and a dog is in the house. => cup in table; book in bed; cat in car; dog in house | where is the book? = bed; where is the dog? = house; what is in the car? = cat; where is the cup? = table; what is on the table? = cup; what is on the bed? = book; where is the cat? = car; what is in the house? = dog; is the dog in the car? = no; is the cup on the table? = yes; where is the key? = nothing
a key is in the cup and a ball is in the bag. the doll is in the box and the toy is in the car. => key in cup; ball in bag; doll in box; toy in car | where is the ball? = bag; what is in the cup? = key; where is the key? = cup; what is in the bag? = ball; where is the doll? = box; what is in the car? = toy; where is the toy? = car; what is in the box? = doll; is the ball in the cup? = no; is the doll in the box? = yes; where is the pen? = nothing
red is a color. green is a color. apple is green. coal is black. => red is color; green is color; apple is green; coal is black | what color is apple? = green; is green a color? = yes; what is apple? = green; is apple green? = yes; is red a color? = yes; what is green? = apple; is apple red? = no; is coal black? = yes; is coal white? = no; what is black? = coal; is apple black? = no
red is a color. blue is a color. the car is red. snow is white. milk is white. => red is color; blue is color; car is red; snow is white; milk is white | what color is the car? = red; is the car blue? = no; what is white? = milk, snow; is blue a color? = yes; is red a color? = yes; what is red? = car; is snow white? = yes; is milk red? = no; what color is snow? = white; is the car red? = yes
grass is green. the sun is hot. apple is a fruit. => grass is green; sun is hot; apple is fruit | is grass green? = yes; is grass blue? = no; is the sun hot? = yes; is the sun cold? = no; is apple a fruit? = yes; what is apple? = fruit; what is hot? = sun; what is green? = grass; is the sun green? = no; is grass a fruit? = no; what color is grass? = green
rose is a flower. a dog is an animal. a cat is an animal. => rose is flower; dog is animal; cat is animal | what is rose? = flower; is the dog an animal? = yes; is the cat a color? = no; is the cat an animal? = yes; what is the dog? = animal; is rose a flower? = yes; is the dog a flower? = no; is rose an animal? = no; what is the cat? = animal
rex is the dog. tom is the cat. black is a color. the cat is black. => rex is dog; tom is cat; black is color; cat is black | what is rex? = dog; what is tom? = cat; is the cat black? = yes; is black a color? = yes; what color is the cat? = black; what is black? = cat; is rex a cat? = no; is tom a cat? = yes; is the dog black? = no; is tom a dog? = no
red is a color. the car is red. blue is a color. the sky is blue. the bike was blue. => red is color; car is red; blue is color; sky is blue; bike is blue | what color is the car? = red; what color is the sky? = blue; is the bike blue? = yes; what is blue? = bike, sky; is the car blue? = no; is the sky red? = no; what color is the bike? = blue; what is red? = car; is red a color? = yes; is blue a color? = yes
green is a color. the grass is green. white is a color. the milk is white. => green is color; grass is green; white is color; milk is white | is the grass green? = yes; is the milk white? = yes; is the milk red? = no; what color is the grass? = green; what color is the milk? = white; what is white? = milk; what is green? = grass; is white a color? = yes; is the grass white? = no; is green a color? = yes
the box has a key. the house has a door. the cup has water. the bag has a pen. => box owns key; house owns door; cup owns water; bag owns pen | what does the box have? = key; what does the house have? = door; what does the cup have? = water; what does the bag have? = pen; what does the key have? = nothing; what does the car have? = nothing; what has water? = cup; what has a door? = house
I have a dog. we have a cat. the bike has a bell. => i owns dog; we owns cat; bike owns bell | what do I have? = dog; what do we have? = cat; who has the dog? = i; who has the cat? = we; what does ann have? = nothing; what do you have? = nothing; what does the bike have? = bell; what has a bell? = bike
I have a cat and a dog. we have a car and a boat. => i owns cat; i owns dog; we owns car; we owns boat | what do I have? = cat, dog; what do we have? = boat, car; who has the cat? = i; who has the boat? = we; who has the dog? = i; who has the car? = we; what does tom have? = nothing; what do you have? = nothing
I have a book and a ball. the room has a lamp and a bed. => i owns book; i owns ball; room owns lamp; room owns bed | what do I have? = ball, book; what does the room have? = bed, lamp; who has the ball? = i; who has the book? = i; what has a lamp? = room; what does the lamp have? = nothing; what does the bed have? = nothing; what do we have? = nothing
the garage has a car and a bike. we have a hat and a coat. => garage owns car; garage owns bike; we owns hat; we owns coat | what does the garage have? = bike, car; what do we have? = coat, hat; who has the hat? = we; who has the coat? = we; what has a car? = garage; what has a bike? = garage; what does the car have? = nothing; what do I have? = nothing
I had a car and a bike. the box has a toy. => i owns car; i owns bike; box owns toy | what did I have? = bike, car; what does the box have? = toy; who had the car? = i; who had the bike? = i; what has a toy? = box; what does the toy have? = nothing; what did ann have? = nothing; what did we have? = nothing
I had a car. it broke down. ben had a scarf. it was yellow. => i owns car; car: broke down; ben owns scarf; scarf is yellow | what broke down? = car; who had the car? = i; who had the scarf? = ben; what color is the scarf? = yellow; what did ben have? = scarf; what did I have? = car; what is yellow? = scarf; is the scarf yellow? = yes; is the car yellow? = no; who had the bike? = nothing; what did we have? = nothing
I had a bike. it broke down. ann had a car. it was white. => i owns bike; bike: broke down; ann owns car; car is white | what did I have? = bike; what did ann have? = car; what color is the car? = white; what broke down? = bike; who had the bike? = i; who had the car? = ann; what is white? = car; is the bike white? = no; what did ben have? = nothing
I had a car. it was red. we had a bike. it was green. => i owns car; car is red; we owns bike; bike is green | what did I have? = car; what is red? = car; what did we have? = bike; what color is the bike? = green; what color is the car? = red; who had the bike? = we; who had the car? = i; what is green? = bike; is the car green? = no; what broke down? = nothing
the cat is in the garden. it is black. the key is in the box. it is red. => cat in garden; cat is black; key in box; key is red | what is black? = cat; what is red? = key; where is the cat? = garden; where is the key? = box; what is in the garden? = cat; what is in the box? = key; is the cat black? = yes; is the key black? = no; what color is the key? = red; is the box red? = no
the bird is in the tree. it is small. the dog is in the house. it is brown. => bird in tree; bird is small; dog in house; dog is brown | what is small? = bird; what is brown? = dog; where is the bird? = tree; where is the dog? = house; is the tree small? = no; is the dog brown? = yes; what color is the dog? = brown; what is in the tree? = bird; is the bird brown? = no
the duck is in the lake. it is white. the ball is in the bag. it is yellow. => duck in lake; duck is white; ball in bag; ball is yellow | what is white? = duck; what is yellow? = ball; where is the duck? = lake; where is the ball? = bag; what color is the duck? = white; what color is the ball? = yellow; is the bag yellow? = no; is the lake white? = no; what is in the bag? = ball
the car is in the street. it is grey. we had a boat. the boat is in the lake. it was red. => car in street; car is grey; we owns boat; boat in lake; boat is red | what is grey? = car; what is red? = boat; who had the boat? = we; where is the car? = street; where is the boat? = lake; what did we have? = boat; what color is the car? = grey; is the boat grey? = no; who had the car? = nothing
ann had a hat. it was blue. I had a car. the car is in the garage. it broke down. => ann owns hat; hat is blue; i owns car; car in garage; car: broke down | what broke down? = car; who had the car? = i; where is the car? = garage; who had the hat? = ann; what color is the hat? = blue; what did I have? = car; what did ann have? = hat; what is in the garage? = car; is the hat in the garage? = no; what is blue? = hat
the key is in the box. the key is in the bag. the cat is in the house. the cat is in the garden. => key in bag; cat in garden | where is the key? = bag; where is the cat? = garden; what is in the bag? = key; what is in the garden? = cat; what is in the box? = nothing; what is in the house? = nothing; is the key in the box? = no; is the cat in the garden? = yes; is the key in the bag? = yes; is the cat in the house? = no
the pen is in the cup. the pen is in the box. the cup is on the table. the cat is on the bed. => pen in box; cup in table; cat in bed | what is in the cup? = nothing; where is the cup? = table; what is on the bed? = cat; where is the pen? = box; what is in the box? = pen; what is on the table? = cup; where is the cat? = bed; is the pen in the cup? = no; is the cat on the bed? = yes
a car is in the garage. a car is in the street. a dog is in the house. a dog is in the garden. => car in garage; car in street; dog in house; dog in garden | where is the car? = garage, street; where is the dog? = garden, house; what is in the garage? = car; what is in the street? = car; what is in the house? = dog; what is in the garden? = dog; is the car in the house? = no; where is the cat? = nothing
tom is at the school. the car is at the garage. the door of the house is red. => tom in school; car in garage; door in house; door is red | where is tom? = school; where is the car? = garage; where is the door? = house; what is red? = door; what is in the school? = tom; what is in the garage? = car; is tom at the school? = yes; is the house red? = no; where is ann? = nothing; what is in the house? = door
the key of the car is in the box. the cat went to the garden. the dog went to the house. the dog went into the garden. => key in box; cat in garden; dog in garden | where is the key? = box; where is the cat? = garden; where is the dog? = garden; what is in the garden? = cat, dog; what is in the box? = key; is the dog in the house? = no; what is in the house? = nothing; is the cat in the garden? = yes
the ball went into the box. there is a cat in the garden. the cars were in the street. => ball in box; cat in garden; cars in street | what is in the box? = ball; where is the cat? = garden; where are the cars? = street; where is the ball? = box; what is in the garden? = cat; what is in the street? = cars; is the cat in the box? = no; where are the keys? = nothing
there is a key in the box. the cats are in the garden. the bird was in the tree. then the bird went into the house. => key in box; cats in garden; bird in house | what is in the box? = key; where are the cats? = garden; where is the bird? = house; where is the key? = box; what is in the garden? = cats; what is in the house? = bird; what is in the tree? = nothing; is the bird in the tree? = no; is the key in the box? = yes
the keys were in the box. the car is red. the car is also fast. the cat was in the house. then the cat went to the garden. => keys in box; car is red; car is fast; cat in garden | where are the keys? = box; what is fast? = car; where is the cat? = garden; what is red? = car; is the car fast? = yes; is the car red? = yes; what is in the box? = keys; what is in the house? = nothing; is the cat in the house? = no; is the cat fast? = no
this box has a key. this cup is on the table. => box owns key; cup in table | what does the box have? = key; where is the cup? = table; what is on the table? = cup; what has a key? = box; what does the cup have? = nothing; is the cup on the table? = yes; where is the box? = nothing; what is in the cup? = nothing
tom had a bike. tom had a bag. the key is in his bag. ben is in the house. his dog is in the garden. => tom owns bike; tom owns bag; key in bag; ben in house; ben owns dog; dog in garden | where is the key? = bag; who had the dog? = ben; who had the bag? = tom; who had the bike? = tom; where is ben? = house; where is the dog? = garden; what is in the bag? = key; is the key in the bike? = no; what did tom have? = bag, bike; what did ben have? = dog
ben had a box. ben had a bag. the pen is in his box. ann had a ball. her cat is black. => ben owns box; ben owns bag; pen in box; ann owns ball; ann owns cat; cat is black | where is the pen? = box; who had the cat? = ann; who had the box? = ben; who had the bag? = ben; who had the ball? = ann; what is black? = cat; what did ann have? = ball, cat; what did ben have? = bag, box; what is in the box? = pen; is the pen in the bag? = no
tom had a house. tom had a dog. the dog is in his house. ann is in the room. her bag is on the bed. => tom owns house; tom owns dog; dog in house; ann in room; ann owns bag; bag in bed | where is the dog? = house; who had the bag? = ann; who had the house? = tom; who had the dog? = tom; where is ann? = room; where is the bag? = bed; what did tom have? = dog, house; what did ann have? = bag; what is in the house? = dog; what is on the bed? = bag
tom had a bike. his car is red. ann is in the garden. her hat is blue. => tom owns bike; tom owns car; car is red; ann in garden; ann owns hat; hat is blue | who had the car? = tom; who had the bike? = tom; who had the hat? = ann; what is red? = car; what is blue? = hat; where is ann? = garden; what did tom have? = bike, car; what did ann have? = hat; is the bike red? = no; who had the ball? = nothing
# The speaker: "i am" places or classes the speaker, and "my" is "his" for the speaker, so it
# needs an "i" to refer to, which the sentence before gives.
i am in the house. i am tom. i have a dog. my dog is black. => i in house; i is tom; i owns dog; dog is black | where am i? = house; who am i? = tom; what color is my dog? = black; what is black? = dog; what do i have? = dog; am i in the house? = yes; what is in the house? = i; is my dog black? = yes; where is my dog? = nothing
i have a car. my car is red. i am ann. tom is my friend. i am in the park. => i owns car; car is red; i is ann; tom is friend; i owns friend; i in park | what color is my car? = red; what is red? = car; who is my friend? = tom; who am i? = ann; is my car red? = yes; what is tom? = friend; is tom red? = no; where am i? = park; what is in the park? = i
turn: i am in the garden where am i {eom} => i in garden | garden
# Longer sentences: a quality before the name, a time word, a companion brought along, two
# counted things placed together, and a relative "which" that continues from the last name.
the small box is on the table. the key is in the small box. => box in table; box is small; key in box | what is small? = box; where is the key? = box; where is the box? = table; what is on the table? = box; what is in the box? = key; is the box small? = yes; is the key small? = no; where is the pen? = nothing
a tall man is in the garden. the tall man is in the house. today the cat is in the garden. => man in house; man is tall; cat in garden | who is tall? = man; where is the man? = house; where is the cat? = garden; what is in the garden? = cat; what is in the house? = man; is the man in the garden? = no; is the cat tall? = no; is the man tall? = yes
yesterday tom went to the park. yesterday the key was in the box. ann is in the garden with her cat. => tom in park; key in box; ann in garden; ann owns cat; cat in garden | where is tom? = park; where is the key? = box; where is the cat? = garden; where is ann? = garden; who had the cat? = ann; what is in the box? = key; what is in the park? = tom; is tom in the garden? = no; is the key in the park? = no; where is ben? = nothing
tom went to the park with his dog. the box is in the car which is in the garage. => tom in park; tom owns dog; dog in park; box in car; car in garage | where is the dog? = park; where is the car? = garage; where is the box? = car; where is tom? = park; who had the dog? = tom; what is in the car? = box; what is in the garage? = car; what is in the park? = dog, tom; is the dog in the car? = no
there are three cats and two dogs in the house. the key is in the bag which is on the table. => cats in house; dogs in house; cats is three; dogs is two; three = 3; two = 2; key in bag; bag in table | how many cats are in the house? = 3; where are the dogs? = house; how many dogs are in the house? = 2; where are the cats? = house; where is the bag? = table; where is the key? = bag; what is in the bag? = key; what is on the table? = bag
there are two keys and three pens in the box. the book is in the bag which is on the bed. => keys in box; pens in box; keys is two; pens is three; two = 2; three = 3; book in bag; bag in bed | how many pens are in the box? = 3; how many keys are in the box? = 2; where are the keys? = box; where are the pens? = box; where is the bag? = bed; where is the book? = bag; what is in the bag? = book; what is on the bed? = bag; where is the cat? = nothing
the key is in a box which is red. the ball is in the box which is in the room. => key in box; box is red; ball in box; box in room | what is red? = box; where is the box? = room; where is the key? = box; where is the ball? = box; what is in the box? = ball, key; what is in the room? = box; is the box red? = yes; is the ball red? = no; where is the room? = nothing
# Common words (the top two hundred of English), each in two scenes so the word gets a row: the
# listener, more qualities before a name, verbs as relations, time words, places and returns.
you are in the house. a large box is on the table. the best book is in the bag. => you in house; box in table; box is large; book in bag; book is best | where are you? = house; what is large? = box; where is the book? = bag; where is the box? = table; what is best? = book; what is in the house? = you; what is on the table? = box; is the box large? = yes; is the book large? = no; what is in the bag? = book
