# How many you can buy: money buys a thing each time it holds the thing's price, so the things some money
# buys are the money over the price each, counting only whole things.
# The turns ask one count each. Each scene tells the money of two people and the prices of two things,
# then asks how many of each thing each one can buy, the money, the prices, a total and who has more.
turn: how many pens can you buy with 10 dollars at 2 dollars each? => | 5
turn: how many books can you buy with 21 dollars at 7 dollars each? => | 3
turn: how many apples can you buy with 100 cents at 25 cents each? => | 4
turn: how many cups can you buy with 20 dollars at 3 dollars each? => | 6
turn: how many toys can you buy with 40 dollars at 12 dollars each? => | 3
turn: how many shirts can you buy with 30 dollars at 10 dollars each? => | 3
turn: how many cakes can you buy with 20 dollars at 6 dollars each? => | 3
tom has 10 dollars. ann has 21 dollars. the pen costs 2 dollars. the book costs 7 dollars. => tom -> {has} -> dollar:quantity(10); {number:value(10)}; ann -> {has} -> dollar:quantity(21); {number:value(21)}; pen -> {cost} -> dollar:quantity(2); {number:value(2)}; book -> {cost} -> dollar:quantity(7); {number:value(7)} | how many pens can you buy with 10 dollars at 2 dollars each? = 5; how many books can you buy with 21 dollars at 7 dollars each? = 3; how many dollars does tom have? = 10; how many dollars does ann have? = 21; how much is the pen? = 2; how much does the book cost? = 7; how many pens can tom buy? = 5; how many books can ann buy? = 3; how many pens can ann buy? = 10; how many books can tom buy? = 1; how many dollars do tom and ann have? = 31; who has more dollars? = ann
kim has 20 dollars. joe has 40 dollars. the cup costs 3 dollars. the toy costs 12 dollars. => kim -> {has} -> dollar:quantity(20); {number:value(20)}; joe -> {has} -> dollar:quantity(40); {number:value(40)}; cup -> {cost} -> dollar:quantity(3); {number:value(3)}; toy -> {cost} -> dollar:quantity(12); {number:value(12)} | how many cups can you buy with 20 dollars at 3 dollars each? = 6; how many toys can you buy with 40 dollars at 12 dollars each? = 3; how many shirts can you buy with 30 dollars at 10 dollars each? = 3; how many cakes can you buy with 20 dollars at 6 dollars each? = 3; how many apples can you buy with 100 cents at 25 cents each? = 4; how many cups can kim buy? = 6; how many toys can joe buy? = 3; how many cups can joe buy? = 13; how many toys can kim buy? = 1; how much is the cup? = 3; how many dollars does joe have? = 40; who has fewer dollars? = kim
test: turn: how many balls can you buy with 32 dollars at 4 dollars each? => | 8
test: turn: how many hats can you buy with 50 dollars at 15 dollars each? => | 3
test: zoe has 32 dollars. ben has 50 dollars. the ball costs 4 dollars. the hat costs 15 dollars. => zoe -> {has} -> dollar:quantity(32); {number:value(32)}; ben -> {has} -> dollar:quantity(50); {number:value(50)}; ball -> {cost} -> dollar:quantity(4); {number:value(4)}; hat -> {cost} -> dollar:quantity(15); {number:value(15)} | how many balls can you buy with 32 dollars at 4 dollars each? = 8; how many hats can you buy with 50 dollars at 15 dollars each? = 3; how many balls can zoe buy? = 8; how many hats can ben buy? = 3; how many balls can ben buy? = 12; how many hats can zoe buy? = 2; how much does the ball cost? = 4; who has more dollars? = ben
