# Counts: a person has a number of one thing, written as an owning with a count under the thing, and
# the count asked back. No comparison is asked here: the file teaches only the writing, from one owner
# up to four owners of the same thing, so that a later scene of four owners is a shape the network
# already writes and the comparison is the one new thing. Each scene asks how many of each, who has the
# thing, who has a given count (the walk from a count back to its owner), and a thing no one has.
tom has 5 apples. => tom -> {has} -> apple:quantity(5); {number:value(5)} | how many apples does tom have? = 5; who has the apples? = tom; what does tom have? = apple
ann has 2 pens. => ann -> {has} -> pen:quantity(2); {number:value(2)} | how many pens does ann have? = 2; who has the pens? = ann; does ann have apples? = no
sam has 1 kite. => sam -> {has} -> kite:quantity(1); {number:value(1)} | how many kites does sam have? = 1; who has the kite? = sam
tom has 5 apples. ann has 2 apples. => tom -> {has} -> apple:quantity(5); {number:value(5)}; ann -> {has} -> apple:quantity(2); {number:value(2)} | how many apples does tom have? = 5; how many apples does ann have? = 2; who has 2 apples? = ann; who has 5 apples? = tom; does tom have pens? = no
max has 1 toy. sue has 8 toys. => max -> {has} -> toy:quantity(1); {number:value(1)}; sue -> {has} -> toy:quantity(8); {number:value(8)} | how many toys does max have? = 1; how many toys does sue have? = 8; who has 8 toys? = sue; does max have cards? = no
sam has 7 pens. lily has 2 pens. kim has 4 pens. => sam -> {has} -> pen:quantity(7); {number:value(7)}; lily -> {has} -> pen:quantity(2); {number:value(2)}; kim -> {has} -> pen:quantity(4); {number:value(4)} | how many pens does lily have? = 2; how many pens does kim have? = 4; how many pens does sam have? = 7; who has 7 pens? = sam; who has 4 pens? = kim
joe has 3 cards. rose has 6 cards. ben has 9 cards. => joe -> {has} -> card:quantity(3); {number:value(3)}; rose -> {has} -> card:quantity(6); {number:value(6)}; ben -> {has} -> card:quantity(9); {number:value(9)} | how many cards does ben have? = 9; how many cards does joe have? = 3; who has 6 cards? = rose; does rose have toys? = no
ben has 4 cards. zoe has 9 cards. tim has 6 cards. rose has 3 cards. => ben -> {has} -> card:quantity(4); {number:value(4)}; zoe -> {has} -> card:quantity(9); {number:value(9)}; tim -> {has} -> card:quantity(6); {number:value(6)}; rose -> {has} -> card:quantity(3); {number:value(3)} | how many cards does tim have? = 6; how many cards does rose have? = 3; how many cards does ben have? = 4; how many cards does zoe have? = 9; who has 9 cards? = zoe; who has 3 cards? = rose; does tim have apples? = no
lily has 7 shells. max has 2 shells. ann has 5 shells. joe has 8 shells. => lily -> {has} -> shell:quantity(7); {number:value(7)}; max -> {has} -> shell:quantity(2); {number:value(2)}; ann -> {has} -> shell:quantity(5); {number:value(5)}; joe -> {has} -> shell:quantity(8); {number:value(8)} | how many shells does ann have? = 5; how many shells does joe have? = 8; how many shells does lily have? = 7; how many shells does max have? = 2; who has 2 shells? = max; who has 5 shells? = ann
sue has 6 toys. kim has 3 toys. sam has 9 toys. tom has 1 toy. => sue -> {has} -> toy:quantity(6); {number:value(6)}; kim -> {has} -> toy:quantity(3); {number:value(3)}; sam -> {has} -> toy:quantity(9); {number:value(9)}; tom -> {has} -> toy:quantity(1); {number:value(1)} | how many toys does tom have? = 1; how many toys does sam have? = 9; how many toys does kim have? = 3; how many toys does sue have? = 6; who has 1 toy? = tom; who has 9 toys? = sam; does kim have shells? = no
tom has 3 apples. tom has 4 pens. => tom -> {has} -> apple:quantity(3); tom -> {has} -> pen:quantity(4); {number:value(3)}; {number:value(4)} | how many apples does tom have? = 3; how many pens does tom have? = 4; who has the pens? = tom; does tom have cards? = no
turn: kim has 6 toys. joe has 1 toy. how many toys does joe have? => kim -> {has} -> toy:quantity(6); joe -> {has} -> toy:quantity(1) | 1
turn: ann has 4 kites. sam has 7 kites. who has 7 kites? => ann -> {has} -> kite:quantity(4); sam -> {has} -> kite:quantity(7) | sam
test: zoe has 4 pens. => zoe -> {has} -> pen:quantity(4); {number:value(4)} | how many pens does zoe have? = 4; who has the pens? = zoe
test: ann has 3 shells. ben has 8 shells. sue has 5 shells. max has 2 shells. => ann -> {has} -> shell:quantity(3); {number:value(3)}; ben -> {has} -> shell:quantity(8); {number:value(8)}; sue -> {has} -> shell:quantity(5); {number:value(5)}; max -> {has} -> shell:quantity(2); {number:value(2)} | how many shells does sue have? = 5; how many shells does max have? = 2; how many shells does ann have? = 3; who has 8 shells? = ben; who has 2 shells? = max; does ben have toys? = no
test: rose has 9 apples. tim has 2 apples. lily has 6 apples. joe has 4 apples. => rose -> {has} -> apple:quantity(9); {number:value(9)}; tim -> {has} -> apple:quantity(2); {number:value(2)}; lily -> {has} -> apple:quantity(6); {number:value(6)}; joe -> {has} -> apple:quantity(4); {number:value(4)} | how many apples does joe have? = 4; how many apples does tim have? = 2; how many apples does rose have? = 9; who has 6 apples? = lily; who has 2 apples? = tim
test: turn: ben has 5 cards. kim has 8 cards. how many cards does ben have? => ben -> {has} -> card:quantity(5); kim -> {has} -> card:quantity(8) | 5
