# The quiz: a text, then "=>", then the space it should build, then (optional) "|" and
# questions with their answers: "question = answer; question = answer".
# Statements: "X in Y" (X is inside Y), "X is Y" (X joined the group Y), "X owns Y", "X: fact".
# Separate with ";".
# Answers: names ("green"; "bike, car" when more than one), "yes", "no", "nothing", or a number
# written in digits.
# Every line starts from an empty space. Only the permanent space counts: what the reader kept
# when a sentence settled. Questions are asked of that space. No word has a meaning in the code: the
# reader learns which behaviors each word promotes from these lines.
# Most lines are scenes: two to five statements, then many questions about them. The questions
# ask each fact in several wordings (where is X, what is in Y, is X in Y), ask about a thing the
# scene does not name (nothing, no), and combine facts where the concept allows. Things in one
# scene have distinct names, unless the concept is about two of the same kind. Simple scenes come
# first. Turn lines stay one statement and one question, since a turn draws one answer.
# Lines that start with "test:" are held out: the reader never learns from them; they show if
# what was learned works on new sentences. Test scenes use new names and things in the shapes
# the learned scenes teach.
# The shape of the numbers facts: the digits put their number on the stack, "=" applies nothing,
# and the word takes the number, so the word's value comes only from the digits; the number words
# every line knows (number-words) are seeded as word = digit, never digit = word, since a digit is a
# value and a thing named by a digit is only a node to land on by chance.
# These scenes only state, since the facts file they teach only states.
seed: 21-verb-forms
seed: 90-everyday
seed: 18-qualities
seed: 17-speakers
3 = three . 5 = five . => {number:value(3)}; three -> {equal} -> {number:value(3)}; {number:value(5)}; five -> {equal} -> {number:value(5)}
10 = ten . 13 = thirteen . => {number:value(10)}; ten -> {equal} -> {number:value(10)}; {number:value(13)}; thirteen -> {equal} -> {number:value(13)}
40 = forty . 100 = hundred . => {number:value(40)}; forty -> {equal} -> {number:value(40)}; {number:value(100)}; hundred -> {equal} -> {number:value(100)}
test: 70 = seventy . 14 = fourteen . => {number:value(70)}; seventy -> {equal} -> {number:value(70)}; {number:value(14)}; fourteen -> {equal} -> {number:value(14)}
car inside garage. person inside car. => person -> {inside} -> car -> {inside} -> garage | where is the car? = garage; what is inside the car? = person; where is the person? = car; what is inside the garage? = car; is the car in the garage? = yes; is the person in the car? = yes; is the car in the house? = no; where is the key? = {nothing}
the key is in the box. a bird is in a tree. => key -> {in} -> box; bird -> {in} -> tree | where is the key? = box; is the bird in the tree? = yes; what is in the box? = key; where is the bird? = tree; what is in the tree? = bird; is the key in the box? = yes; is the key in the tree? = no; is the bird in the box? = no; where is the duck? = {nothing}
a key is in a box. the bird is in the tree. => key -> {in} -> box; bird -> {in} -> tree | what is in the box? = key; where is the bird? = tree; where is the key? = box; what is in the tree? = bird; is the bird in the tree? = yes; is the key in the box? = yes; is the bird in the box? = no; what is in the cup? = {nothing}
the duck is in the lake. the cow is in the meadow. the boat is in the river. => duck -> {in} -> lake; cow -> {in} -> meadow; boat -> {in} -> river | where is the duck? = lake; is the duck in the lake? = yes; is the cow in the meadow? = yes; is the cow in the house? = no; where is the boat? = river; is the boat in the river? = yes; where is the cow? = meadow; what is in the lake? = duck; what is in the meadow? = cow; what is in the river? = boat; is the boat in the lake? = no; is the duck in the river? = no; where is the fish? = {nothing}
a pen is inside a bag. water is in the cup. => pen -> {inside} -> bag; water -> {in} -> cup | is the pen in the box? = no; what is in the cup? = water; where is the pen? = bag; where is the water? = cup; what is inside the bag? = pen; is the water in the cup? = yes; is the pen in the cup? = no; what is in the box? = {nothing}
the apple is in the bowl. the apple is red. a lamp is in the room. the room is dark. => apple -> {in} -> bowl; apple -> {red}; lamp -> {in} -> room -> {is} -> dark | where is the apple? = bowl; what is red? = apple; what is dark? = room; where is the lamp? = room; what is in the bowl? = apple; what is in the room? = lamp; is the apple red? = yes; is the room dark? = yes; is the apple dark? = no; is the lamp in the room? = yes; is the lamp red? = no; what is green? = {nothing}
a cup is in a box. the box is green. a pen is in the cup. the cup is small. => box -> {green}; pen -> {in} -> cup -> {in} -> box; pen -> {in} -> cup -> {small} | where is the cup? = box; what is green? = box; where is the pen? = cup; what is small? = cup; what is in the box? = cup; what is in the cup? = pen; is the box green? = yes; is the cup small? = yes; is the cup green? = no; where is the box? = {nothing}
a toy is in a car. the car is green. a cat is in the garage. the cat is black. => toy -> {in} -> car -> {green}; cat -> {in} -> garage; cat -> {black} | where is the toy? = car; what is green? = car; is the cat black? = yes; where is the cat? = garage; what is black? = cat; what is in the car? = toy; what is in the garage? = cat; is the car green? = yes; is the car black? = no; is the toy in the garage? = no; where is the dog? = {nothing}
the ball is inside the box and the box is inside the car. the key is in the cup and the cup is in the bag. => ball -> {inside} -> box -> {inside} -> car; key -> {in} -> cup -> {in} -> bag | where is the box? = car; where is the cup? = bag; where is the ball? = box; where is the key? = cup; what is inside the box? = ball; what is in the cup? = key; what is in the bag? = cup; what is inside the car? = box; where is the bag? = {nothing}
the book is in the box and the box is in the car. the dog is in the car and the car is in the street. => book -> {in} -> box -> {in} -> car; dog -> {in} -> car -> {in} -> street | where is the box? = car; where is the car? = street; where is the dog? = car; where is the book? = box; what is in the box? = book; what is in the street? = car; what is in the car? = box, dog; is the dog in the car? = yes; is the dog in the box? = no; where is the street? = {nothing}
