# Odd and even: a whole number that two divides with nothing left over is even, and one that leaves one
# over is odd, asked with is a number odd or even.
# The turns ask one number each. Each scene tells what two or three people have, then asks odd and even
# of the numbers and of a total, each count, how many more, and who has more or fewer.
turn: is 7 odd? {eom} => | yes
turn: is 8 even? {eom} => | yes
turn: is 4 odd? {eom} => | no
turn: is 9 even? {eom} => | no
turn: is 12 odd or even? {eom} => | even
tom has 7 apples. ann has 6 apples. sam has 12 pens. => tom owns apples; apples is 7; 7 = 7; ann owns apples; apples is 6; 6 = 6; sam owns pens; pens is 12; 12 = 12 | is 7 odd? = yes; is 8 even? = yes; is 4 odd? = no; is 9 even? = no; is 12 odd or even? = even; is 7 odd or even? = odd; is 6 odd? = no; how many apples does tom have? = 7; how many apples do tom and ann have? = 13; is 13 odd? = yes; how many pens does sam have? = 12; who has more apples? = tom
kim has 5 cards. joe has 10 cards. lily has 11 stamps. => kim owns cards; cards is 5; 5 = 5; joe owns cards; cards is 10; 10 = 10; lily owns stamps; stamps is 11; 11 = 11 | is 5 odd? = yes; is 10 even? = yes; is 11 odd or even? = odd; is 10 odd? = no; is 5 even? = no; how many cards does kim have? = 5; how many cards do kim and joe have? = 15; how many more cards does joe have than kim? = 5; how many stamps does lily have? = 11; who has fewer cards? = kim
test: turn: is 15 odd? {eom} => | yes
test: turn: is 20 even? {eom} => | yes
test: turn: is 3 odd or even? {eom} => | odd
test: zoe has 20 shells. ben has 3 shells. => zoe owns shells; shells is 20; 20 = 20; ben owns shells; shells is 3; 3 = 3 | is 15 odd? = yes; is 20 even? = yes; is 3 odd or even? = odd; is 20 odd? = no; is 3 even? = no; how many shells do zoe and ben have? = 23; is 23 odd? = yes; who has more shells? = zoe
